From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
x1C9894;x4D3C2E;sea;-1;5897;3563;5894;3541;;None
x326CF6;x425D9D;sea;-1;7220;2906;7207;2897;;None
x2A744A;x425D9D;sea;-1;7207;2908;7206;2897;;None
xF7DBB7;x6490D9;sea;-1;2528;2796;2523;2789;;None
x414325;x21A090;sea;-1;5001;1401;4991;1411;;None
xB5403E;x6090C0;sea;-1;501;2009;547;1968;;None
xEF4020;xD8550D;sea;-1;4303;2515;4304;2509;;None
xD19738;x7F0BF0;sea;-1;4385;2945;4377;2941;;None
xED2792;xC16C09;sea;-1;4351;2925;4337;2920;;None
xC16C09;x78B203;sea;-1;4322;2920;4311;2919;;None
x99B424;x8D6FA8;sea;-1;5912;1751;5917;1737;;None
xE04161;x45B6EF;sea;-1;4545;3079;4522;3075;;None
x3e101e;x7a3b01;sea;-1;-1;-1;1917;3512;;None
x59b5a5;xa5e93e;sea;-1;-1;-1;-1;-1;;None
x34b2eb;xf3698c;sea;-1;604;3002;582;3016;;None
x607082;xe040c0;sea;-1;1093;2853;1127;2864;;None
xe040c0;x32e810;sea;-1;1135;2859;1139;2864;;None
xc4f8be;x462445;sea;-1;1127;2879;1133;2883;;None
x908090;x900090;sea;-1;6822;1315;6805;1317;;None
x908090;x4cfce1;sea;-1;6824;1315;6824;1299;;None
xcf8a98;x699245;sea;-1;6910;1281;6903;1274;;None
xd690e0;xd0e090;sea;-1;5362;1027;5401;1043;;None
x6f75ed;xd9fca0;sea;-1;7310;3561;7312;3588;;None
xC01020;x805120;sea;-1;4453;2427;4445;2427;;None #Sicily
xbc6ed3;xa0b0c0;sea;-1;3970;2377;3972;2367;;Gibralter strait
xa25f8d;xb7f9f9;sea;-1;1081;2927;1087;2931;;Alaska
x0f65f5;x7a4dc8;sea;-1;6522;1454;6546;1447;;Sumatra
xa1341f;x91b001;sea;-1;6455;1515;6474;1513;;Sumatra
xe0a0f0;xd2d88c;sea;-1;6345;1491;6367;1512;;Sumatra
x9377df;xe0a0f0;sea;-1;6290;1568;6343;1490;;Sumatra
x01c030;x91b001;sea;-1;6501;1581;6474;1537;;Sumatra
x7d6d54;x0f65f5;sea;-1;6498;1455;6505;1462;;Sumatra
x100090;x5aba94;sea;-1;6739;1319;6725;1323;;Bali
xd2799b;xf8fbac;sea;-1;7572;1416;7562;1414;;Eastern New Guinea
x61f645;x10c090;sea;-1;7473;1386;7464;1385;;Eastern New Guinea
x5779b1;x686a28;sea;-1;7417;1408;7411;1402;;Eastern New Guinea
xab408f;x10c090;sea;-1;7452;1375;7461;1386;;Eastern New Guinea
xb9e7df;x719040;sea;-1;7518;1279;7532;1285;;Eastern New Guinea
xaff001;x5a8abf;sea;-1;7207;1473;7220;1472;;Western New Guinea
xd3b54d;x39dd3b;sea;-1;7072;1507;7075;1492;;Western New Guinea
x5ba7c2;x5a7430;sea;-1;2512;193;2507;199;;Araucania
x706090;xcc30aa;sea;-1;2554;118;2555;124;;Araucania
xa8029d;x4cf080;sea;-1;2470;134;2471;141;;Araucania
x4cf080;x38ca10;sea;-1;2451;150;2445;152;;Araucania
x38ca10;x373f8e;sea;-1;2438;161;2439;170;;Araucania
x30e010;x7f712c;sea;-1;2396;208;2402;205;;Araucania
x5550b3;xb938ae;sea;-1;2388;264;2397;266;;Araucania
xd3a69b;xaf6607;sea;-1;6986;1433;7007;1440;;Araucania
xd986f1;x91b395;sea;-1;7098;1352;7148;1361;;Moluccas
x079110;xd986f1;sea;-1;7070;1429;7097;1352;;Moluccas
x7a7a6e;xb346eb;sea;-1;6997;1503;7003;1509;;Moluccas
xb346eb;x22a870;sea;-1;7008;1536;7002;1543;;Moluccas
x22a870;xd02fe9;sea;-1;7005;1553;7015;1562;;Moluccas
x7bd240;x7a4df4;sea;-1;6900;1493;6898;1486;;Moluccas
x11c030;x97975e;sea;-1;7425;584;7462;555;;Victoria
x97975e;x3be014;sea;-1;7466;539;7464;529;;Victoria
x904030;x114030;sea;-1;7365;591;7372;562;;Victoria
x114030;xba7909;sea;-1;7372;553;7391;532;;Victoria
xe5b909;xd0a0d0;sea;-1;7241;669;7236;663;;South Australia
xa1c4d2;x6a5dde;sea;-1;7917;367;7927;372;;South Island
xf3f2c9;xc3eb7d;sea;-1;2240;2015;2244;2026;;Cuba
x798c8e;x8e933e;sea;-1;2828;2800;2822;2821;;Newfoundland
x484a09;x70c040;sea;-1;2634;2642;2638;2655;;New Brusnwick
x46c8fa;x4fdcfa;canal_suez;-1;4836;2253;4836;2211;;Sinai Canal
x1fc9e5;x2bdefc;canal_panama;-1;2271;1728;2281;1715;;Panama Canal
x706060;x708c99;sea;-1;4919;2619;4936;2619;;Crimea/Kuban
xA090C0;xBC2AFE;sea;-1;7286;2517;7291;2507;;Hokkaido/Tohoku
xCAFE73;x90f80a;sea;-1;6961;1736;6964;1739;;
x05FD19;x31F0E0;sea;-1;6924;1801;6918;1805;;
x6D44B5;x8001F0;sea;-1;6858;1801;6870;1796;;
x8001F0;xE2086C;sea;-1;6871;1791;6871;1783;;
x46EA60;x591034;sea;-1;6885;1756;6892;1752;;
x591034;xD2CA4A;sea;-1;6899;1726;6902;1731;;
xD2CA4A;x02E634;sea;-1;6915;1751;6919;1744;;
x02E634;x90f80a;sea;-1;6928;1744;6935;1749;;
xf001e2;x31f0e0;sea;-1;6901;1800;6900;1809;;
xb061c0;x36b2e3;sea;-1;4422;2608;4415;2614;;
x5299ca;x9c52ca;sea;-1;2707;1834;2708;1845;;
x9c52ca;x70f001;sea;-1;2703;1853;2699;1865;;
x70f001;x33895b;sea;-1;2697;1871;2691;1883;;
x33895b;x335389;sea;-1;2689;1887;2682;1896;;
xd496b1;xf0f001;sea;-1;2712;1771;2691;1791;;
x89337a;xecc061;sea;-1;2665;1914;2659;1929;;
xf0d000;xae5874;sea;-1;7033;2294;7040;2299;;
x1e9a93;x2010c0;sea;-1;7325;2625;7327;2643;;
x2ee734;x946a22;sea;-1;6765;1681;6764;1702;;
x7a4df4;xf94d86;sea;-1;6914;1468;6925;1471;;
xf0ce19;xf88172;sea;-1;6963;1459;6971;1441;;
xaf6607;x7a7a6e;sea;-1;7013;1446;7008;1478;;
x908010;x58a658;sea;-1;6869;1397;6869;1406;;
xb14d58;x63e362;sea;-1;6837;1379;6832;1391;;
x100090;x900090;sea;-1;6746;1318;6756;1316;;
x4ebc79;x72c072;sea;-1;2320;2089;2332;2096;;
x1e761e;x535b49;sea;-1;2245;1959;2314;1935;;
x71414d;xa7f7e3;sea;-1;7536;1686;7515;1712;;Micronesia
x71414d;x6e4206;sea;-1;7557;1683;7588;1639;;Micronesia
xf5dbbf;x80c011;sea;-1;7907;1726;7938;1740;;Micronesia
xf5dbbf;xcd1ea0;sea;-1;7900;1730;7889;1774;;Micronesia
x2190A0;xC56452;sea;-1;4694;2452;4688;2436;;Aegean
xE011A0;xC56452;sea;-1;4709;2397;4705;2401;;Aegean
xa010a0;x6090a0;sea;-1;4653;2424;4658;2421;;Aegean
x6960a0;x6090a0;sea;-1;4673;2382;4668;2398;;Aegean
x95abdb;xc56452;sea;-1;4694;2430;4688;2434;;Aegean
x702020;xedecfb;sea;-1;4655;2496;4656;2502;;Aegean
x61a3e3;x53fa6e;sea;-1;8149;1110;8157;1121;;Fiji
x5178bc;x504090;sea;-1;7903;1146;7896;1161;;Vanuatu
x3b8eeb;xd04090;sea;-1;7674;1348;7679;1330;;South Solomon Islands
xd04090;x2b5e69;sea;-1;7686;1323;7700;1342;;South Solomon Islands
x2b5e69;x898945;sea;-1;7731;1321;7731;1304;;South Solomon Islands
x898945;xf5f405;sea;-1;7752;1294;7761;1305;;South Solomon Islands
x898945;x874589;sea;-1;7754;1290;7772;1277;;South Solomon Islands
x769456;x9b6d87;sea;-1;3476;2441;3506;2422;;Azores
x655491;x20ef01;sea;-1;3719;2174;3736;2167;;Canary Islands
x20ef01;x64c2b3;sea;-1;3743;2167;3766;2171;;Canary Islands
x64c2b3;xc2c164;sea;-1;3778;2185;3780;2191;;Canary Islands
xe8e7a2;xa2e8c5;sea;-1;3541;1857;3555;1860;;Cape Verde
xa2e8c5;xa2c3e8;sea;-1;3559;1859;3567;1862;;Cape Verde
xc00010;xa7f8a1;sea;-1;200;1202;214;1196;;Tonga
xf0f061;xf0d080;sea;-1;7010;2135;7029;2163;;Ryukyu Islands
x0181b0;xcbc996;sea;-1;748;1168;757;1166;;Tahiti
xcbc996;x888659;sea;-1;759;1164;757;1159;;Tahiti
xcbc996;x998293;sea;-1;760;1165;766;1165;;Tahiti
x998293;x59885e;sea;-1;770;1161;772;1156;;Tahiti
x59885e;x98c69c;sea;-1;777;1152;782;1148;;Tahiti
x59885e;x98c3c6;sea;-1;776;1153;782;1160;;Tahiti
x98c69c;x5e2464;sea;-1;789;1139;791;1132;;Tahiti
x98c3c6;xc6b798;sea;-1;787;1161;793;1156;;Tahiti
x5e2464;x643424;sea;-1;794;1132;801;1130;;Tahiti
xc6b798;xba6e55;sea;-1;802;1143;809;1141;;Tahiti
x643424;xba6e55;sea;-1;806;1133;810;1140;;Tahiti
xba6e55;xf1dbf3;sea;-1;813;1140;821;1140;;Tahiti
xf1dbf3;x887771;sea;-1;835;1135;839;1142;;Tahiti
xf1dbf3;x728871;sea;-1;833;1133;836;1127;;Tahiti
x887771;xdbae9f;sea;-1;844;1142;854;1147;;Tahiti
x887771;x2a4340;sea;-1;845;1141;847;1135;;Tahiti
x728871;x718885;sea;-1;843;1120;851;1114;;Tahiti
x718885;x42432a;sea;-1;853;1112;855;1105;;Tahiti
x42432a;x7d7d62;sea;-1;859;1101;861;1096;;Tahiti
x7d7d62;x54bb3d;sea;-1;862;1094;878;1103;;Tahiti
x54bb3d;x2c2e13;sea;-1;891;1101;894;1107;;Tahiti
x37058f;xb19fd2;sea;-1;5283;1794;5258;1783;;
x1b9953;xb0f0b0;sea;-1;6815;1772;6825;1783;;
x99d030;xf0014a;sea;-1;6873;1667;6874;1674;;
x007040;xc58daf;sea;-1;2366;2348;2360;2357;;Outer Banks
xad6f70;xfc7f77;sea;-1;3520;3593;3521;3587;;Greenland
x20083f;x705adb;sea;-1;3554;3575;3554;3570;;Greenland
x705adb;x8ac169;sea;-1;3551;3568;3551;3563;;Greenland
x8ac169;x93f601;sea;-1;3539;3560;3531;3557;;Greenland
x8d1714;xd5115e;sea;-1;2867;3454;2870;3461;;Greenland
x485920;x28ef12;sea;-1;2876;3493;2887;3497;;Greenland
x28ef12;xc20a82;sea;-1;2896;3499;2897;3504;;Greenland
xd20a8f;x3e3dbe;sea;-1;2929;3442;2931;3436;;Greenland
x5d9349;x325620;sea;-1;2847;3541;2841;3541;;Greenland
x902089;x342080;sea;-1;4295;1599;4301;1609;;
x4ebc79;x686279;sea;-1;2318;2079;2324;2075;;Bahamas
x72c072;x7a6fa3;sea;-1;2437;2031;2448;2018;;Bahamas
x30f080;x606060;sea;-1;2619;1922;2622;1936;;West Indies
xc7d17e;x5691e1;sea;-1;1022;2992;1023;2986;;Alaska
x505ae0;x2768f8;sea;-1;5246;2118;5256;2113;;Abu Dhabi
x8911a4;x904090;sea;-1;7337;1308;7336;1290;;
x45ad0b;xc00000;sea;-1;344;2894;327;2886;;
xc5ce93;x939ace;sea;-1;2465;2509;2465;2516;;Rhode Island
x015121;x3a8b51;sea;-1;4422;2368;4418;2372;;Malta
xf05001;x70cf00;sea;-1;7076;2321;7075;2316;;Kyushu
x7c9beb;x1151c0;sea;-1;7144;2326;7141;2333;;Shikoku
x31968A;x74BF34;special;-1;3910;3487;4390;3363;;Jan Mayen
xF0A020;x30A060;sea;-1;4750;2506;4758;2506;;Constantinople
xE9AC75;x38DFFE;sea;-1;1276;2729;1294;2729;;Vancouver Island
x5B9D2D;x7F67EF;sea;-1;7403;2571;7410;2576;;Kuril Islands
x7F67EF;x1E5261;sea;-1;7429;2594;7450;2602;;Kuril Islands
x1E5261;x601140;sea;-1;7488;2624;7503;2630;;Kuril Islands
x1000F0;x733DDF;sea;-1;8076;513;8061;507;;New Zealand
xDBE794;x5CC6B6;sea;-1;6505;1382;6511;1372;;Sumata Java
xD91A27;x5ABA94;sea;-1;6701;1328;6706;1324;;Java Bali
xA8029D;x06CB06;sea;-1;2487;136;2484;130;;
xFA990A;x706090;sea;-1;2534;111;2544;111;;
